date,state,entity,action,scope,driver_stated,source_url
2022-01-01,CA,Travelers,Non-renewals,Thousands of California homeowners policies (2022-2023),Wildfire risk (secondary reporting; no dated company statement located),https://www.foxbusiness.com/lifestyle/california-insurance-crisis-here-carriers-have-fled-reduced-coverage-state
2022-05-26,FL,Florida Legislature,Regulatory change,"SB 2-D special session: reinsurance assistance, roof deductible options, attorney-fee limits",Market destabilization from litigation and reinsurance cost,https://www.clydeco.com/en/insights/2023/03/historic-florida-insurance-reforms-under-sb-2-a
2022-09-28,FL,Hurricane Ian (catastrophe event),Catastrophe event,Southwest Florida; insured losses ~$21.4B reported by Florida OIR claims data (industry estimates higher),N/A - loss event,https://news.wgcu.org/section/hurricanerecovery/2024-04-26/insured-losses-wrought-by-hurricane-ian-near-21-4-billion
2022-10-13,LA,Louisiana Legislative Auditor,Market failure documented,"11 property insurers insolvent July 2021 - September 2022 (incl. Access Home, Americas, FedNat, Gulfstream, Lighthouse, Maison, Southern Fidelity, Weston); LA Citizens 35670 -> 112035 policies (+214%) Jan 2021 - Aug 2022","""impacts of the calendar year 2020 and 2021 hurricanes, the perceived risk or exposure to potential losses in Louisiana, and/or the inability to obtain reinsurance""",https://app.lla.state.la.us/publicreports.nsf/0/9d5c25a709f476a3862588da005c6930/$file/000283c0.pdf
2022-12-16,FL,Florida Legislature,Regulatory change,SB 2-A signed: eliminates one-way attorney fees; bans post-loss AOB for policies issued after 2023-01-01; requires adverse adjudication before bad-faith claims; claim deadlines cut 2yr->1yr and 3yr->18mo; prompt-pay changes effective 2023-03-01; phases in flood-coverage requirement for Citizens policyholders,"Litigation cost, not catastrophe loss, identified as the proximate driver of Florida insolvencies",https://www.clydeco.com/en/insights/2023/03/historic-florida-insurance-reforms-under-sb-2-a
2023-01-01,CA,AmGUARD,Stopped writing,California homeowners,Not stated publicly (secondary reporting),https://www.foxbusiness.com/lifestyle/california-insurance-crisis-here-carriers-have-fled-reduced-coverage-state
2023-01-01,CA,Falls Lake Insurance,Full withdrawal,California homeowners,Could not obtain reinsurance (secondary reporting),https://www.foxbusiness.com/lifestyle/california-insurance-crisis-here-carriers-have-fled-reduced-coverage-state
2023-04-01,FL,Citizens Property Insurance,Regulatory/eligibility change,Flood coverage required for new Citizens personal-lines residential wind policies in FEMA Special Flood Hazard Areas (existing renewals from 2023-07-01),SB 2-A statutory requirement; phase-in to all policies by 2027-01-01,https://www.citizensfla.com/-/flood-insurance-coverage-rules-kick-in-for-citizens
2023-05-27,CA,State Farm General,Stopped writing new business,"All new business and personal lines property and casualty applications in California (personal auto excluded); announced 2023-05-26, effective 2023-05-27","""historic increases in construction costs outpacing inflation, rapidly growing catastrophe exposure, and a challenging reinsurance market""",https://newsroom.statefarm.com/state-farm-general-insurance-company-california-new-business-update/
2023-05-30,CA,California Department of Insurance,Regulatory response,Consumer alert on State Farm decision; noted ~115 other insurers still writing residential policies in CA,"Commissioner Lara: ""climate change challenges, higher reinsurance costs affecting the entire insurance industry, and global inflation""",https://www.insurance.ca.gov/0400-news/0102-alerts/2023/Consumer-Alert-on-State-Farm's-Decision.cfm
2023-07-01,CA,Farmers Insurance,Capped new business,New California homeowners policies capped at 7000/month,Wildfire loss and regulatory environment (company did not publish a detailed rationale at the time),https://www.carriermanagement.com/news/2024/12/11/269439.htm
2023-07-11,FL,Farmers Insurance,Withdrawal of branded book,~100000 Florida-branded home/auto/umbrella policies (~30% of FL book); Foremost and Bristol West subsidiaries continued,Catastrophe exposure and cost of doing business in Florida (secondary reporting),https://fortune.com/2023/07/22/housing-market-florida-trouble-as-home-insurers-pull-out/
2023-07-01,US,GAO,Analysis published,GAO-23-105977: 66% of renewed NFIP policies still below full-risk rate as of 2022-12-31; median current premium $689 vs median full-risk $1288 (+90%); ~95% of policies reach full risk by 2037; ~9% need >300% increases,"Statutory 18%/yr cap (42 U.S.C. 4015(e)) means NFIP repricing is a decade-plus glide path, not a step change",https://www.gao.gov/assets/gao-23-105977.pdf
2023-10-02,LA,Louisiana Dept. of Insurance,Mitigation subsidy launched,Louisiana Fortify Homes Program opens for eligible LA Citizens policyholders,Retain/attract capacity by reducing modeled loss,https://ldi.la.gov/news/press-releases/9-13-23-louisiana-fortify-homes-program-launches-october-2-for-eligible-homeowners-insured-by-louisiana-citizens
2023-12-01,CA,State Farm General,Rate increase approved,20% homeowners rate increase approved (following 6.9% Nov 2021 and 6.9% Jan 2023),Rate inadequacy; surplus depletion,https://www.insurance.ca.gov/0400-news/0100-press-releases/2025/upload/nr018CommissionerLetterEmergencyInterimRateApproval.pdf
2024-01-23,CA,The Hartford,Stopped writing new business,New California homeowners policies,Not stated publicly in detail (secondary reporting),https://www.foxbusiness.com/lifestyle/california-insurance-crisis-here-carriers-have-fled-reduced-coverage-state
2024-03-20,CA,State Farm General,Non-renewal / line withdrawal,"~30000 homeowners, rental dwelling and other property policies non-renewed from 2024-07-03; full withdrawal from commercial apartment (~42000 policies) from 2024-08-20; ~72000 total, just over 2% of CA policy count","Inflation, catastrophe exposure, reinsurance costs, and ""outdated insurance regulations""",https://newsroom.statefarm.com/update-on-california/
2024-04-01,CA,California FAIR Plan,Residual market growth,Residential PIF 324954 at year-end 2023 (3.75% of CA residential market) vs 141391 in 2015 (1.66%); surplus lines residential 14384 (2015) -> 41514 (2023),Voluntary market contraction; CDI notes 20-25% of all non-renewals are insurer-initiated,https://www.insurance.ca.gov/01-consumers/200-wrr/upload/CDI-Fact-Sheet-Summary-on-Residential-Insurance-Policies-and-the-FAIR-Plan-v-011325.pdf
2024-04-18,CA,Tokio Marine America & Trans Pacific Insurance,Full withdrawal,12556 California policies; $11.3M premium; effective July 2024,No reason cited by the companies (per Insurance Journal reporting of the CDI filing),https://www.insurancejournal.com/news/west/2024/04/18/770680.htm
2024-07-02,CA,State Farm General,Rate filing,Requested 30% homeowners increase; projected homeowners surplus would fall below $500M by 2028 without it,Surplus deterioration,https://www.spglobal.com/market-intelligence/en/news-insights/articles/2024/8/state-farm-flags-surplus-deterioration-seeks-30-homeowners-hike-in-california-82283218
2024-07-26,CA,California Department of Insurance,Regulatory change,"FAIR Plan modernization announced (commercial limits later raised to $20M/structure, $100M/location; expanded eligibility; public reporting requirements)",Sustainable Insurance Strategy; residual-market capacity,https://www.insurance.ca.gov/01-consumers/180-climate-change/sustainable-insurance-strategy.Cfm
2024-12-11,CA,Farmers Insurance,Resumed / expanded writing,Monthly new California homeowners cap raised 7000 -> 9500 effective 2024-12-14; resumed condo and renters,"Company president: ""the state's insurance marketplace has indeed improved""; cited the anticipated Sustainable Insurance Strategy regulations",https://www.carriermanagement.com/news/2024/12/11/269439.htm
2024-12-13,CA,California Department of Insurance,Regulatory change,Catastrophe modeling regulation filed with Secretary of State; forward-looking wildfire cat models permitted in ratemaking for the first time; insurers must write at least 85% of their statewide market share in wildfire-distressed areas; PRID petitions accepted from 2025-01-02,Reverses the Proposition 103 practice of rating on 20-year historical averages only,https://www.insurance.ca.gov/0400-news/0100-press-releases/2024/release062-2024.cfm
2024-12-18,US,Senate Budget Committee,Analysis published,"Non-renewal data from ~24 insurers covering ~65% of the national homeowners market, 249 million policy records 2018-2023; highest non-renewal rates concentrated in FL, CA, LA plus emerging areas incl. coastal NJ, coastal NC, southern New England","Committee frames the driver as climate risk; the underlying data are non-renewal counts, not insurer statements of rationale",https://www.budget.senate.gov/chairman/newsroom/press/new-data-reveal-climate-change-driven-insurance-crisis-is-spreading
2024-12-30,CA,California Department of Insurance,Regulatory change,Net Cost of Reinsurance in Ratemaking regulation issued; reinsurance cost becomes a permitted ratemaking expense subject to a benchmark cap (excess above the industry standard cannot be passed through),Reverses the long-standing Prop 103 prohibition on including net reinsurance cost in rates; conditioned on the 85% distressed-area writing commitment,https://www.insurancejournal.com/news/west/2024/12/30/806461.htm
2025-01-07,CA,Palisades and Eaton Fires (catastrophe event),Catastrophe event,Los Angeles County; Verisk industry insured loss estimate $28-35B; CDI reported 38835 residential property claims and ~$22.0B paid as of its March 2026 reporting,N/A - loss event,https://www.verisk.com/company/newsroom/verisk-estimates-industry-insured-losses-for-the-palisades-and-eaton-fires-will-fall-between-usd-28-billion-and-usd-35-billion/
2025-02-11,CA,California FAIR Plan / CDI,Assessment triggered,"$1B assessment on member insurers approved (Order 2025-1); first FAIR Plan assessment since 1995 ($150M 1993, $60M 1994, $50M 1995); pre-fire reserves ~$377M; member insurers may recoup 50% via a temporary supplemental fee on their own policyholders","FAIR Plan reserve depletion from Palisades/Eaton claims; Ins. Code 10095(a),(c)",https://www.insurance.ca.gov/0250-insurers/0300-insurers/0200-bulletins/bulletin-notices-commiss-opinion/upload/Bulletin-2025-4-Updated-Guidance-regarding-Insurer-Recoupment-Procedures-in-Response-to-Assessment-by-the-FAIR-Plan.pdf
2025-02-14,CA,California Department of Insurance,Rate decision (interim),"Commissioner declines immediate approval of State Farm's emergency interim request (22% homeowners, 15% renters, 15% condo, 38% rental dwelling); sets 2025-02-26 conference; questions ""swift capital depletion"" and the ""significant decrease in its policyholder surplus""",Regulatory friction made explicit: the rate mechanism itself becomes the binding constraint,https://www.insurance.ca.gov/0400-news/0100-press-releases/2025/upload/nr018CommissionerLetterEmergencyInterimRateApproval.pdf
2025-03-28,CA,California FAIR Plan / CDI,Capacity expansion,"Commercial property limits raised to $20M per building / $100M per location; eligibility extended to HOAs, affordable-housing developers, farmers, builders",Residual market absorbing risk the voluntary market will not write,https://www.insurance.ca.gov/0400-news/0100-press-releases/2025/release028-2025.cfm
2025-05-13,CA,State Farm General,Interim rate increase approved,"17% homeowners, 15% renters/condo, 38% rental dwelling, effective 2025-06-01; conditioned on a $400M surplus note from State Farm Mutual and a pause on non-renewals through year-end; refunds if final rates come in lower","State Farm General: 9-year record of paying $1.26 in claims per $1.00 of premium, >$5B cumulative underwriting losses, surplus ~$4.16B (2016) -> ~$1.04B (end-2024); LA wildfire gross loss ~$7.6B (~$212M retained after reinsurance); >$165M FAIR Plan assessment share",https://calmatters.org/economy/2025/05/state-farm-rate-hikes-decision/
2025-09-01,CA,California FAIR Plan,Rate filing,Dwelling program filing shows an 80% indicated rate need against a 35.8% filed increase (pending as of the January 2026 oversight hearing),Rate inadequacy in the residual market itself,https://ains.assembly.ca.gov/system/files/2026-01/fair-plan-oversight-hearing-powerpoint.pdf
2025-10-01,US,NFIP,Authorization lapse,NFIP authorization lapsed 2025-10-01 to 2025-11-13 (43 days) during the federal shutdown; no new or renewal policies could be issued; NAR estimated ~1300 property sales/day and ~40000 closings/month affected; reauthorized to 2026-01-30,Congressional appropriations failure - a programme-availability risk with no private-market analogue,https://www.insurancejournal.com/news/national/2025/11/13/847559.htm
2025-12-16,US,"Gourevitch, Snyder & Kousky (Journal of Catastrophe Risk and Resilience)",Analysis published,"Risk Rating 2.0 price increases reduced NEW flood policies by 11-39% and EXISTING policies by 5-13%, with the largest losses in the lowest-income quartile (25-60% decline in new policies)","Documents that in a federal flood programme, ""exit"" is consumer lapse, not carrier withdrawal",https://journalofcrr.com/research/03-07-gourevitch-et-al/
2025-12-31,CA,California FAIR Plan,Residual market growth,"668609 PIF; $724B exposure (December 2025), +146% PIF since FY2022",Continued voluntary-market contraction despite the December 2024 regulations,https://ains.assembly.ca.gov/system/files/2026-01/fair-plan-oversight-hearing-powerpoint.pdf
2025-12-31,FL,Citizens Property Insurance (Miami-Dade),Residual market contraction,Miami-Dade PIF 218947 (2022-12-31) -> 210019 (2023) -> 170873 (2024) -> 88973 (2025-12-31),Depopulation take-outs following the 2022-23 litigation reforms; -59% in 2025 alone,https://www.citizensfla.com/documents/20702/30188297/20251231+Detail+by+County.pdf/705ec784-1e21-0799-773b-7a7e0945d7a3
2026-01-01,GLOBAL,Reinsurance market (Guy Carpenter US Property Cat ROL Index),Pricing turn,"US property-cat rate-on-line index down 12% at 1 January 2026, down 14% at 1 April, down ~16% year-to-date by mid-2026; ~22% below the 2024 hard-market peak but still ~66% above the 2017 soft-market low",Abundant reinsurer capital; the 2023-24 reinsurance squeeze that helped drive CA and FL exits has reversed,https://www.artemis.bm/us-property-cat-rate-on-line-index/
2026-03-09,CA,State Farm General / CDI / Consumer Watchdog,Rate settlement,Three-party settlement: 17% homeowners increase stands; rental dwelling cut 38% -> 32.8%; condo 15% -> 5.8%; renters 15% -> 15.65%; refunds with 10% interest retroactive to 2025-06-01; Consumer Watchdog estimates ~$530M consumer savings vs the original request,Resolution of the rate-approval friction that State Farm named as a withdrawal driver,https://www.insurancejournal.com/news/west/2026/03/09/861117.htm
2026-04-30,FL,Florida surplus lines market,Market share shift,"Surplus lines homeowners policies ~21300 in April 2026, +70% year over year; average surplus lines HO-3 premium now roughly at parity with the admitted market (~$3300 admitted, <$3500 E&S)",Non-admitted capacity filling residual niches even as the admitted market recovers,https://www.claimsjournal.com/news/national/2026/05/15/337574.htm
2026-06-05,FL,Citizens Property Insurance,Residual market contraction,"293465 policies in force - ""the lowest level in 25 years""; peak was 1407805 on 2023-09-30 per Citizens own PIF page - note OIR's July 2026 report states the peak was ~1.2M at end-2022, which is inconsistent with Citizens data",Post-SB 2-A depopulation; 21 new companies approved to write residential property since the reforms,https://floir.gov/docs-sf/default-source/property-and-casualty/stability-unit-reports/july-2026-isu-report.pdf
2026-06-30,CA,California FAIR Plan,Residual market growth,696562 PIF; $768B exposure; $2.04B written premium (June 2026) - +157% PIF and +250% exposure since September 2022; new-business run rate down 25% year over year,Growth decelerating but not reversing,https://www.cfpnet.com/key-statistics-data/
2026-07-01,FL,Florida Office of Insurance Regulation,Market recovery documented,"Florida's share of US homeowners claims lawsuits 79% (2020) -> 73.15% (2024) -> 41.29% (2025); share of US claims 9% (2020) -> 4.85% (2025); 2025 pooled combined ratio 83%, lowest in over a decade; 44 companies filed rate decreases for 2024+; 2026 reinsurance risk-adjusted costs down ~10-25%","Litigation reform, not changed hurricane exposure, is the documented cause of the reversal",https://floir.gov/docs-sf/default-source/property-and-casualty/stability-unit-reports/july-2026-isu-report.pdf
2026-07-31,FL,Citizens Property Insurance (Miami-Dade),Residual market contraction,Miami-Dade PIF 67353 all lines; $19.2B total insured value; $170.7M premium,"-69% versus December 2022 - the sharpest residual-market contraction in the country, in the most sea-level-exposed large US county",https://www.citizensfla.com/documents/20702/38830519/20260731+Detail+by+County.pdf/805064a5-9cb6-aee8-f116-499fbfb77fe6
2023-05-12,CO,Colorado General Assembly,Regulatory change,"HB23-1288 signed by Governor 2023-05-12, effective 2023-08-07: creates a FAIR Plan association to provide property insurance when unavailable from standard insurers",Post-Marshall Fire availability crisis; Colorado had no residual property market,https://leg.colorado.gov/bills/HB23-1288
2025-01-01,CO,Colorado FAIR Plan,Residual market created,"Colorado FAIR Plan enters Phase 1 (2025-2026), building products and systems; began accepting business in 2025",Voluntary-market withdrawal from wildfire-exposed Colorado ZIPs,https://www.coloradofairplan.com/about
2024-10-09,FL,Hurricane Milton (catastrophe event),Catastrophe event,West-central Florida landfall; Verisk industry insured loss estimate $30-50B,N/A - loss event. Notably did NOT reverse Florida's post-reform recovery: OIR reports positive net income for 2024 and a 83% combined ratio for 2025,https://s29.q4cdn.com/767340216/files/doc_news/Verisk-Estimates-Industry-Insured-Losses-for-Hurricane-Milton-Will-Range-Between-USD-30-Billion-to-USD-50-Billion-2024.pdf
2024-06-30,MA,Massachusetts FAIR Plan,Residual market growth,"FY2024 PIF 173000+ vs 158660 in FY2023 (+9%), the first increase since 2017; Cape Cod and the islands went from 33% to 40% of homes on the FAIR Plan; coastal Bristol/Plymouth plus Cape/islands = 55% of all enrollees (51% in 2020)","Carriers cited climate-related risk generally, heavy downpours, high winds and severe storms - NOT sea level rise. Closest US case to a coastal-driven residual market shift",https://commonwealthbeacon.org/environment/mass-home-insurer-of-last-resort-sees-spike-in-enrollment/
2026-03-31,TX,Texas Windstorm Insurance Association,Residual market scale,286251 policies in force; $127.1B exposure (Q1 2026); average residential premium $2877; 53% of residential market share within its coastal coverage area (2024),Statutory coastal wind residual market; scale reflects the private market's unwillingness to write Texas coastal wind,https://www.twia.org/wp-content/uploads/2026.05-TWIA-Media-Kit.pdf
2024-04-01,LA,Louisiana Citizens,Residual market contraction,Depopulation Round 19 (assumption 2024-04-01) transferred 8415 policies / ~$2.4B exposure; Round 20 (2024-12-01) transferred 13481 policies / ~$4.49B,Capital returning after the Insure Louisiana Incentive Program and Fortify Homes mitigation subsidies,https://app.lla.state.la.us/PublicReports.nsf/0/AE4B67E34358EBE086258CC900554AAA/$FILE/00008151.pdf
2024-02-27,NZ,"Storey, Owen, Zammit & Noy (Climatic Change 177:44)",Analysis published,"Only rigorous study of sea-level-driven insurance retreat: projects 99% of properties in 1% AEP coastal inundation zones face at least partial insurance retreat within a decade (<10cm SLR), full retreat in 20-25 years. New Zealand, and PROJECTED - not an observed withdrawal","Mechanism is rising EVENT FREQUENCY (a 1-in-100 becoming a 1-in-20), i.e. loss experience - not SLR projections per se",https://link.springer.com/article/10.1007/s10584-024-03699-1
